date,irt3m_eacc_t,irt6m_eacc_t,ltirt_eacc_t,ppicag_ea_t,ppicog_ea_t,ppindcog_ea_t,ppidcog_ea_t,ppiing_ea_t,ppinrg_ea_t,hicpov_ea_t,hicpnef_ea_t,hicpg_ea_t,hicpin_ea_t,hicpsv_ea_t,hicpng_ea_t,curr_eacc_t,m1_eacc_t,m2_eacc_t,oilpricex_t,hcpi_yoy_t,hcpi_yoy
1959-01-01,,,,,,,,,,,,,,,,,,,,,
1959-02-01,,,,,,,,,,,,,,,,,,,,,
1959-03-01,,,,,,,,,,,,,,,,,,,-0.0100503358535015,,
1959-04-01,,,,,,,,,,,,,,,,,,,0.0100503358535015,,
1959-05-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-06-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-07-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-08-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-09-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-10-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-11-01,,,,,,,,,,,,,,,,,,,0.0,,
1959-12-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-01-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-02-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-03-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-04-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-05-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-06-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-07-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-08-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-09-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-10-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-11-01,,,,,,,,,,,,,,,,,,,0.0,,
1960-12-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-01-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-02-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-03-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-04-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-05-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-06-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-07-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-08-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-09-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-10-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-11-01,,,,,,,,,,,,,,,,,,,0.0,,
1961-12-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-01-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-02-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-03-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-04-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-05-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-06-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-07-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-08-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-09-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-10-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-11-01,,,,,,,,,,,,,,,,,,,0.0,,
1962-12-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-01-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-02-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-03-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-04-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-05-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-06-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-07-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-08-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-09-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-10-01,,,,,,,,,,,,,,,,,,,0.0,,
1963-11-01,,,,,,,,,,,,,,,,,,,0.0,,
